component,duration_seconds,category
Building zlib and libiconv...,50.7,FAST
Building audio codecs (LAME, Opus, Vorbis, FLAC)...,211.2,FAST
Building video codecs (x264, x265, libvpx, AOM)...,6.5,FAST
Building image processing (WebP, OpenJPEG)...,10.1,FAST
Building text rendering (FreeType, FontConfig, libass)...,7.8,FAST
Building video filters (vid.stab, zimg)...,1.8,FAST
Building container formats (libbluray)...,1.0,FAST
Building SDL2...,1.3,FAST
Extracting archives...,2.7,FAST
Building all dependencies...,1847.5,SLOW
Configuring FFmpeg...,45.2,FAST
Compiling FFmpeg...,892.1,SLOW
